,Date,Team1Players,Team2Players,DreamTeamPlayers
76,2021-10-11,"D Padikkal,V Kohli,K Bharat,G Maxwell,A Villiers,S Ahmed,D Christian,H Patel,G Garton,M Siraj,Y Chahal","S Gill,V Iyer,R Tripathi,N Rana,S Narine,K Karthik,E Morgan,S Hasan,L Ferguson,S Mavi,C Varun",
77,2021-10-10,"P Shaw,S Dhawan,S Iyer,A Patel,R Pant,S Hetmyer,T Curran,R Ashwin,K Rabada,A Khan,A Nortje","R Gaikwad,F Plessis,R Uthappa,S Thakur,A Rayudu,M Ali,M Dhoni,R Jadeja,D Bravo,D Chahar,J Hazlewood",
78,2021-10-08,"P Shaw,S Dhawan,R Pant,S Iyer,S Hetmyer,R Patel,A Patel,R Ashwin,K Rabada,A Khan,A Nortje","V Kohli,D Padikkal,K Bharat,A Villiers,G Maxwell,D Christian,S Ahmed,G Garton,H Patel,M Siraj,Y Chahal",
79,2021-10-08,"R Sharma,I Kishan,H Pandya,K Pollard,S Yadav,J Neesham,K Pandya,N Coulter-Nile,P Chawla,J Bumrah,T Boult","J Roy,A Sharma,M Pandey,M Nabi,A Samad,P Garg,J Holder,R Khan,W Saha,S Kaul,U Malik",
80,2021-10-07,"S Gill,V Iyer,N Rana,R Tripathi,K Karthik,E Morgan,S Hasan,S Narine,L Ferguson,C Varun,S Mavi","Y Jaiswal,L Livingstone,S Samson,S Dube,A Rawat,G Phillips,R Tewatia,C Morris,J Unadkat,C Sakariya,M Rahman",
81,2021-10-07,"R Gaikwad,F Plessis,M Ali,R Uthappa,A Rayudu,M Dhoni,R Jadeja,D Bravo,D Chahar,S Thakur,J Hazlewood","K Rahul,M Agarwal,S Khan,M Khan,A Markram,M Henriques,C Jordan,H Brar,R Bishnoi,M Shami,A Singh",
82,2021-10-06,"J Roy,A Sharma,K Williamson,P Garg,A Samad,W Saha,J Holder,R Khan,B Kumar,S Kaul,U Malik","V Kohli,D Padikkal,D Christian,K Bharat,G Maxwell,A Villiers,S Ahmed,G Garton,H Patel,M Siraj,Y Chahal",
83,2021-10-05,"E Lewis,Y Jaiswal,S Samson,S Dube,G Phillips,D Miller,R Tewatia,S Gopal,C Sakariya,K Yadav,M Rahman","R Sharma,I Kishan,S Yadav,H Pandya,S Tiwary,K Pollard,J Neesham,N Coulter-Nile,J Yadav,J Bumrah,T Boult",
84,2021-10-04,"R Gaikwad,F Plessis,R Uthappa,M Ali,A Rayudu,M Dhoni,R Jadeja,D Bravo,D Chahar,S Thakur,J Hazlewood","P Shaw,S Dhawan,S Iyer,R Pant,R Patel,R Ashwin,S Hetmyer,A Patel,K Rabada,A Khan,A Nortje",
85,2021-10-03,"V Kohli,D Padikkal,D Christian,G Maxwell,A Villiers,S Ahmed,K Bharat,G Garton,H Patel,M Siraj,Y Chahal","K Rahul,M Agarwal,N Pooran,A Markram,S Khan,M Khan,M Henriques,H Brar,R Bishnoi,M Shami,A Singh",
86,2021-10-03,"J Roy,W Saha,K Williamson,P Garg,A Sharma,A Samad,J Holder,R Khan,B Kumar,S Kaul,U Malik","S Gill,V Iyer,R Tripathi,N Rana,K Karthik,E Morgan,S Hasan,S Narine,T Southee,C Varun,S Mavi",
87,2021-10-02,"R Sharma,Q Kock,S Yadav,S Tiwary,K Pollard,H Pandya,K Pandya,N Coulter-Nile,J Yadav,J Bumrah,T Boult","P Shaw,S Dhawan,S Smith,R Pant,S Iyer,A Patel,S Hetmyer,R Ashwin,K Rabada,A Khan,A Nortje",
88,2021-10-02,"R Gaikwad,F Plessis,S Raina,M Ali,A Rayudu,R Jadeja,M Dhoni,S Curran,S Thakur,J Hazlewood,K Asif","E Lewis,Y Jaiswal,S Samson,S Dube,G Phillips,D Miller,R Tewatia,A Singh,M Markande,C Sakariya,M Rahman",
89,2021-10-01,"V Iyer,S Gill,R Tripathi,N Rana,E Morgan,K Karthik,T Seifert,S Narine,T Southee,C Varun,S Mavi","K Rahul,M Agarwal,N Pooran,A Markram,D Hooda,M Khan,F Allen,N Ellis,R Bishnoi,M Shami,A Singh",
90,2021-09-30,"J Roy,W Saha,K Williamson,P Garg,A Sharma,A Samad,J Holder,R Khan,B Kumar,S Sharma,S Kaul","R Gaikwad,F Plessis,M Ali,S Raina,A Rayudu,M Dhoni,R Jadeja,D Bravo,S Thakur,D Chahar,J Hazlewood",
91,2021-09-29,"E Lewis,Y Jaiswal,S Samson,M Lomror,L Livingstone,R Tewatia,R Parag,C Morris,C Sakariya,K Tyagi,M Rahman","V Kohli,D Padikkal,K Bharat,G Maxwell,A Villiers,D Christian,S Ahmed,G Garton,H Patel,M Siraj,Y Chahal",
92,2021-09-28,"K Rahul,M Singh,C Gayle,A Markram,N Pooran,D Hooda,H Brar,N Ellis,R Bishnoi,M Shami,A Singh","R Sharma,Q Kock,S Yadav,S Tiwary,H Pandya,K Pollard,K Pandya,N Coulter-Nile,R Chahar,T Boult,J Bumrah",
93,2021-09-28,"S Smith,S Dhawan,S Iyer,R Pant,S Hetmyer,L Yadav,A Patel,R Ashwin,K Rabada,A Khan,A Nortje","S Gill,V Iyer,R Tripathi,N Rana,E Morgan,K Karthik,S Narine,T Southee,L Ferguson,S Warrier,C Varun",
